"e","a","q","i"
0.1530,2.878,2.438,3.56
0.1567,2.728,2.300,6.77
0.1737,3.005,2.483,11.74
0.2105,3.969,3.134,12.61
0.0447,2.578,2.463,8.06
0.0725,2.748,2.549,5.95
0.1490,2.221,1.890,6.00
0.1562,2.802,2.365,12.80
0.0565,3.143,2.965,10.58
0.0963,2.219,2.005,2.94
0.2013,3.072,2.453,7.80
0.0972,2.648,2.391,12.72
0.0907,2.325,2.114,7.86
0.0633,2.727,2.555,7.40
0.2529,3.161,2.362,23.79
0.1378,3.122,2.692,15.38
0.0790,2.78,2.560,8.99
0.1031,3.126,2.804,15.94
0.1728,2.288,1.893,5.43
0.0754,2.691,2.488,6.68
0.1307,2.777,2.414,7.01
0.1798,3.143,2.578,1.67
0.1128,2.678,2.376,6.16
0.0897,3.222,2.933,12.56
0.1706,3.121,2.588,7.39
0.1684,3.14,2.611,2.66
0.1454,2.652,2.267,5.59
0.1262,2.846,2.487,13.58
0.1692,2.899,2.408,20.22
0.2352,2.741,2.097,18.11
0.0657,3.003,2.805,6.45
0.0657,2.611,2.439,8.11
0.1313,2.651,2.303,12.14
0.3056,2.32,1.611,23.21
0.1389,2.884,2.483,14.32
0.3300,2.78,1.862,14.88
0.2281,2.764,2.133,6.22
0.0842,2.784,2.550,3.35
0.1596,2.742,2.304,2.55
0.2482,2.634,1.980,12.87
0.2239,2.738,2.125,9.55
0.0765,3.052,2.818,13.11
0.1157,3.129,2.767,10.52
0.0314,3.347,3.242,5.96
0.1123,2.558,2.271,11.83
0.0982,2.809,2.533,9.16
0.2011,2.592,2.070,14.10
0.2434,2.585,1.956,11.94
0.1782,2.919,2.399,4.19
0.0710,2.626,2.440,7.52
0.1460,3.165,2.703,9.09
0.0719,2.577,2.392,11.27
0.2411,2.725,2.068,10.96
0.1148,2.936,2.598,15.35
0.0413,2.765,2.651,13.76
0.3418,2.585,1.701,18.73
0.0737,3.505,3.247,9.56
0.3003,2.792,1.954,8.22
0.2175,2.792,2.184,12.86
0.1354,2.799,2.420,6.65
0.1189,2.592,2.284,6.82
0.2519,2.595,1.941,3.93
0.0274,3.42,3.327,6.69
0.2829,2.541,1.822,7.79
0.2147,2.229,1.750,5.00
0.0348,3.069,2.962,11.24
0.1092,2.774,2.471,8.22
0.0573,2.892,2.726,4.05
0.1060,2.889,2.583,19.50
0.1193,2.972,2.617,5.13
0.1784,2.307,1.896,6.19
0.1239,2.606,2.283,9.54
0.2504,2.85,2.136,14.54
0.1706,3.138,2.603,1.83
0.1459,2.369,2.024,12.12
0.2228,1.458,1.133,10.83
0.0734,1.944,1.801,22.51
0.1549,2.45,2.071,1.82
0.0699,3.199,2.976,18.51
0.2484,2.386,1.794,7.34
0.0679,2.555,2.381,7.37
0.0667,3.134,2.925,19.13
0.1080,2.21,1.971,1.60
0.0815,2.806,2.578,8.16
0.0701,2.346,2.182,6.07
0.0398,2.216,2.128,4.24
0.1741,2.771,2.289,10.27
0.1978,3.197,2.564,21.31
0.1252,2.788,2.439,10.62
0.0456,2.987,2.850,4.79
0.1877,3.132,2.544,12.73
0.1730,2.55,2.109,3.08
0.0978,3.018,2.723,10.13
0.0703,3.063,2.847,15.21
0.0140,2.845,2.806,3.22
0.1093,2.183,1.945,5.55
0.1115,2.627,2.334,6.29
0.2952,2.655,1.871,12.02
0.1806,2.79,2.286,14.48
0.1712,3.097,2.567,12.97
0.2429,2.993,2.266,12.65
0.2115,2.619,2.065,10.30
0.1043,2.718,2.434,4.64
0.1453,3.117,2.664,1.47
0.0878,2.872,2.620,3.19
0.2201,2.398,1.871,13.54
0.2047,2.802,2.228,10.16
0.2051,3.094,2.459,4.65
0.0959,3.358,3.036,18.99
0.1066,2.946,2.632,6.45
0.1960,3.133,2.519,0.44
0.1598,3.191,2.681,11.47
0.0957,2.404,2.174,7.23
0.2289,2.89,2.229,15.01
0.0954,2.543,2.300,15.81
0.1078,2.662,2.375,12.94
0.2108,2.452,1.935,8.80
0.3795,2.594,1.610,18.95
0.0742,2.651,2.454,10.92
0.1880,2.415,1.961,5.29
0.0804,3.017,2.774,13.18
0.2183,2.721,2.127,8.68
0.0458,2.645,2.524,21.31
0.1581,2.74,2.307,9.85
0.0965,2.998,2.709,14.47
0.0509,3.427,3.252,18.75
0.0575,2.667,2.514,12.51
