"e","a","q","i"
0.1094,3.123,2.782,3.95
0.0534,3.025,2.864,9.10
0.0704,2.867,2.665,2.84
0.0615,2.868,2.691,3.18
0.0576,2.744,2.586,6.12
0.0872,2.98,2.720,10.23
0.0424,2.963,2.838,10.10
0.1716,2.664,2.207,11.00
0.1426,3.018,2.588,13.15
0.0223,2.899,2.834,11.57
0.0344,3.055,2.950,9.05
0.0408,3.053,2.928,8.73
0.0354,3.048,2.940,8.24
0.1301,2.777,2.416,8.13
0.0932,3.196,2.898,4.40
0.0937,2.775,2.515,3.40
0.0703,3.06,2.845,11.59
0.0315,3.08,2.984,10.97
0.0651,2.842,2.657,3.28
0.0348,2.705,2.611,5.82
0.0860,3.207,2.931,6.56
0.1050,2.992,2.678,10.28
0.0785,2.85,2.626,5.87
0.2283,2.798,2.159,8.86
0.0456,3.016,2.879,11.22
0.1675,2.615,2.177,7.42
0.0645,3.155,2.952,24.92
0.0989,2.759,2.486,4.11
0.1437,3.169,2.714,6.46
0.0583,3.233,3.044,5.32
0.0900,3.243,2.952,12.89
0.1547,3.088,2.610,12.03
0.1365,2.725,2.353,14.50
0.0825,2.575,2.362,28.94
0.0338,2.59,2.502,21.06
0.1999,3.113,2.490,16.68
0.1058,2.98,2.665,8.99
0.0833,3.163,2.900,7.07
0.1294,3.144,2.738,7.80
0.1743,3.159,2.608,8.51
0.1203,2.977,2.618,10.38
0.0929,2.666,2.418,8.71
0.0455,3.12,2.978,11.30
0.0469,2.626,2.503,13.54
0.0539,3.057,2.892,10.65
0.1203,3.174,2.792,2.32
0.0744,2.961,2.741,8.55
0.0483,3.064,2.916,9.21
0.1452,3.046,2.604,1.19
0.1074,3.069,2.739,10.66
0.2245,3.079,2.388,1.88
0.1068,2.71,2.421,2.80
0.2013,2.687,2.146,11.62
0.1056,2.64,2.361,14.89
0.1309,2.755,2.395,7.43
0.1113,2.75,2.444,4.30
0.0100,2.803,2.775,5.22
0.0400,3.167,3.040,8.64
0.1542,3.075,2.601,3.08
0.1459,3.139,2.681,17.82
0.0144,2.834,2.793,1.83
0.1551,3.147,2.659,6.68
0.1842,2.853,2.327,10.27
0.1195,3.127,2.753,14.87
0.1180,3.073,2.711,8.52
0.0603,2.765,2.598,4.90
0.0734,3.193,2.959,5.60
0.0329,2.884,2.789,2.82
0.1225,3.212,2.819,4.28
0.1293,2.746,2.391,3.71
0.0689,2.71,2.524,4.33
0.0794,3.02,2.780,10.13
0.1268,2.601,2.271,14.98
0.0666,3.066,2.862,9.43
0.0618,2.587,2.427,14.57
0.0582,3.022,2.846,8.95
0.0226,3.259,3.185,4.73
0.0863,2.635,2.408,13.18
0.0628,3.047,2.856,7.63
0.0820,2.726,2.502,5.62
0.0758,3.201,2.958,7.44
0.0419,2.986,2.861,11.40
0.2120,3.099,2.442,1.75
0.1068,2.621,2.341,13.64
0.2824,3.171,2.275,25.37
0.1691,2.599,2.160,4.17
0.1960,2.554,2.054,14.93
0.1521,2.815,2.387,16.27
0.1459,3.209,2.741,18.22
0.2186,2.556,1.997,10.85
0.1307,2.871,2.496,2.57
0.2530,2.756,2.059,14.52
0.1949,2.705,2.178,13.38
0.1140,2.998,2.656,11.40
0.0772,2.735,2.524,11.77
0.1271,3.155,2.754,12.06
0.1624,2.77,2.321,7.37
0.0747,3.008,2.783,2.64
0.1568,2.743,2.313,7.72
0.0975,3.033,2.737,10.46
0.1352,3.147,2.722,4.48
0.1938,3.167,2.553,0.84
0.0896,2.943,2.679,0.79
0.0519,2.719,2.578,4.07
0.1230,3.142,2.755,1.66
0.1872,3.175,2.580,2.56
0.0925,2.898,2.630,2.69
0.1195,3.154,2.778,10.04
0.0694,2.996,2.789,1.02
0.0784,2.901,2.673,2.50
0.1133,3.222,2.857,8.07
0.2626,2.751,2.029,9.92
0.0890,2.879,2.623,2.42
0.1053,2.863,2.562,4.02
0.3080,2.285,1.581,19.89
0.2320,3.151,2.420,1.75
0.0606,3.097,2.909,5.71
0.0734,2.786,2.581,3.89
0.0917,3.112,2.826,18.71
0.0843,3.077,2.818,8.65
0.1155,2.661,2.353,11.97
0.0380,2.906,2.795,1.96
0.0738,3.244,3.004,3.42
0.0581,2.876,2.709,1.66
0.2088,3.11,2.461,1.41
0.0848,2.923,2.676,3.11
0.0600,2.94,2.764,2.30
0.1059,3.202,2.862,5.88
0.0964,2.996,2.707,10.48
0.0740,3.116,2.885,9.46
0.1880,2.747,2.230,7.18
0.0575,3.159,2.977,3.47
0.2176,3.195,2.500,8.81
0.1104,2.946,2.621,2.99
0.0407,2.977,2.856,12.62
0.1712,3.11,2.578,2.26
0.1420,3.222,2.764,13.35
0.1083,2.573,2.294,14.00
0.1950,2.655,2.137,11.78
0.0846,3.081,2.820,10.04
0.2452,2.732,2.062,31.27
0.1395,2.578,2.218,16.21
0.0718,2.8,2.599,3.03
0.0571,2.746,2.589,4.75
0.1158,3.052,2.699,11.03
0.1367,2.757,2.380,13.45
0.0953,3.066,2.774,12.04
0.1916,3.175,2.567,1.69
0.1103,3.222,2.866,6.68
0.1238,2.721,2.384,11.60
0.1037,2.971,2.663,11.04
0.0924,3.171,2.878,1.92
0.1264,3.087,2.697,6.86
0.0951,2.996,2.711,7.57
0.0823,2.976,2.731,9.59
0.0981,3.203,2.888,6.13
0.0626,2.953,2.768,11.17
0.0497,3.114,2.959,9.27
0.1303,3.089,2.687,1.55
0.0444,2.759,2.636,4.08
0.1098,3.125,2.782,4.26
0.1713,2.664,2.208,11.92
0.1034,3.165,2.837,2.11
0.0906,3.114,2.832,1.43
0.1174,3.147,2.777,3.30
0.1888,2.752,2.232,12.50
0.0852,3.022,2.764,10.34
0.0898,3.097,2.819,7.36
0.2706,2.549,1.859,11.86
0.0930,3.043,2.760,8.88
0.1825,3.085,2.522,4.21
0.1277,3.042,2.654,11.26
0.2070,2.937,2.329,8.02
0.1443,2.914,2.494,3.44
0.1595,3.037,2.553,12.67
0.1848,2.7,2.201,12.30
0.1094,3.132,2.789,0.94
0.1679,3.173,2.640,15.54
0.0182,3.196,3.138,10.37
0.0319,3.171,3.070,8.98
0.0380,2.815,2.708,5.14
0.0937,3.189,2.890,6.00
0.0807,2.952,2.714,2.98
0.1563,2.8,2.362,17.44
0.1478,3.119,2.658,17.86
0.1503,3.194,2.714,19.74
0.0414,3.138,3.008,22.73
0.1361,2.533,2.188,14.69
0.1134,3.226,2.860,22.97
0.1859,2.548,2.074,15.85
0.1122,3.123,2.772,7.07
0.0620,3.025,2.837,6.65
0.0280,3.012,2.927,12.29
0.0817,3.043,2.794,3.02
0.1367,2.654,2.291,13.77
0.2842,2.617,1.874,16.36
0.1027,2.963,2.658,14.56
0.0462,3.098,2.955,9.02
0.0929,3.046,2.763,9.26
0.1716,3.138,2.599,9.35
0.0865,3.18,2.905,17.12
0.2483,2.622,1.971,6.89
0.1854,2.628,2.140,14.17
0.0377,2.715,2.613,6.91
0.2600,2.351,1.740,10.76
0.0759,3.393,3.136,9.05
0.2135,2.647,2.082,8.41
0.1679,2.776,2.310,8.46
0.0359,3.063,2.953,2.34
0.1457,3.024,2.583,3.72
0.1505,2.693,2.287,8.93
0.1322,3.151,2.735,10.99
0.1526,2.792,2.366,8.75
0.2571,2.778,2.063,12.28
0.2882,3.074,2.188,1.04
0.3721,2.648,1.663,11.77
0.1482,2.856,2.433,1.97
0.1580,2.687,2.263,13.30
0.0887,2.901,2.644,3.35
0.1997,2.676,2.142,12.47
0.0889,2.897,2.639,3.01
0.0829,2.719,2.494,11.85
0.1087,2.647,2.359,14.19
0.1219,3.145,2.761,1.84
0.0716,3.136,2.912,14.41
0.1681,3.123,2.598,1.45
0.0692,3.023,2.813,10.98
0.0857,3.03,2.770,6.40
0.0148,2.911,2.868,2.92
0.1059,2.991,2.674,10.32
0.2579,2.664,1.977,11.84
0.1946,2.673,2.152,16.47
0.2072,2.789,2.211,9.45
0.1839,2.734,2.232,13.76
0.0743,2.932,2.714,1.96
0.1034,3.152,2.826,1.04
0.1089,3.108,2.769,5.07
0.0832,2.966,2.719,9.67
0.1035,2.8,2.510,4.41
0.0932,2.968,2.691,9.54
0.1880,2.581,2.096,3.14
0.1777,2.695,2.216,13.25
0.0728,3.01,2.791,7.58
0.1045,3.136,2.808,1.98
0.0370,2.978,2.868,2.80
0.1264,2.934,2.563,3.06
0.2185,3.221,2.517,1.68
0.0809,3.089,2.839,8.67
0.1065,3.126,2.793,6.13
0.0794,3.066,2.823,9.83
0.1261,3.228,2.821,2.63
0.1332,5.164,4.477,16.31
0.1149,3.145,2.784,5.76
0.1707,2.73,2.264,13.76
0.0886,2.998,2.732,11.61
0.1037,3.026,2.712,10.77
0.1078,3.021,2.695,10.98
0.0150,3.125,3.078,0.36
0.2372,3.113,2.374,19.53
0.1713,3.047,2.525,13.84
0.1243,3.959,3.467,7.99
0.0539,3.066,2.900,10.83
0.2183,2.586,2.022,15.01
0.1402,3.139,2.699,15.48
0.1485,3.048,2.595,2.46
0.2125,3.969,3.126,11.60
0.1170,2.988,2.638,11.05
0.1578,2.572,2.166,13.21
0.1595,3.211,2.699,10.18
0.1170,2.551,2.252,13.25
0.1422,2.584,2.216,24.14
0.1555,3.047,2.573,2.16
0.1287,3.145,2.740,17.44
0.1081,2.924,2.608,3.09
0.0514,3.064,2.906,8.21
0.0864,2.867,2.619,2.68
0.0339,3.066,2.962,5.89
0.1153,2.97,2.627,10.02
0.0537,3.205,3.032,20.69
0.1970,2.656,2.132,13.37
0.0558,3.061,2.890,10.04
0.2004,2.546,2.036,5.70
0.0176,2.969,2.917,9.90
0.1348,3.118,2.698,6.69
0.0900,3.167,2.882,9.03
0.3089,2.76,1.907,9.79
0.0820,2.897,2.659,17.89
0.0587,3,2.823,11.37
0.0552,3.063,2.894,10.11
0.0805,3.003,2.762,11.42
0.0420,3.179,3.046,8.71
0.2258,3.148,2.437,13.02
0.1986,2.72,2.180,13.96
0.1459,2.77,2.366,9.25
0.1773,3.187,2.622,12.57
0.1104,2.986,2.656,11.71
0.1966,2.781,2.234,11.15
0.1121,3.007,2.670,12.67
0.2385,2.587,1.970,10.95
0.0938,2.985,2.705,10.71
0.3093,3.052,2.108,22.21
0.1037,2.752,2.467,5.17
0.0716,3.044,2.826,10.71
0.1638,2.611,2.183,13.26
0.1095,3.007,2.678,10.40
0.1870,3.071,2.497,18.96
0.1706,3.151,2.613,0.29
0.2661,2.799,2.054,9.04
0.0652,3.49,3.262,11.23
0.1690,2.34,1.945,23.54
0.0339,3.048,2.945,16.69
0.1676,2.566,2.136,16.05
0.0881,3.088,2.816,9.51
0.0737,3.098,2.870,18.04
0.0701,2.664,2.477,8.69
0.1313,2.752,2.390,5.85
0.0584,5.162,4.860,33.17
0.1081,3.187,2.843,11.87
0.0876,5.319,4.853,2.88
0.0625,3.017,2.828,8.40
0.1086,3.42,3.049,12.09
0.1686,3.155,2.623,6.75
0.0838,2.968,2.719,12.19
0.1227,3.063,2.687,11.28
0.1631,3.155,2.641,13.15
0.0831,5.226,4.792,9.70
0.0271,3.915,3.808,5.85
0.1454,3.202,2.737,15.05
0.0787,5.226,4.815,9.97
0.2547,3.065,2.285,12.92
0.0808,5.174,4.756,8.03
0.1741,3.155,2.606,4.23
0.2440,2.532,1.914,9.16
0.0698,2.936,2.731,11.62
0.0271,5.157,5.018,6.76
0.0740,3.064,2.837,9.91
0.1569,3.068,2.587,12.03
0.0812,3.047,2.799,11.03
0.0786,3.498,3.224,10.51
0.2266,3.983,3.080,9.27
0.0954,3.051,2.760,10.88
0.1171,3.09,2.728,8.01
0.0717,2.976,2.762,11.01
0.0471,3.13,2.983,14.12
0.1119,3.023,2.685,11.77
0.0891,2.982,2.716,11.40
0.0305,2.964,2.873,10.50
0.1453,3.063,2.618,10.19
0.0323,3.215,3.111,8.72
0.1130,3.1,2.750,11.64
0.0620,5.123,4.805,25.93
0.1851,3.09,2.518,11.36
0.2812,2.734,1.965,10.08
0.1338,3.189,2.762,18.33
0.1850,3.1,2.527,22.94
0.1330,3.05,2.645,5.03
0.1097,2.558,2.277,23.25
0.1645,2.752,2.299,7.43
0.2385,2.952,2.248,12.57
0.0522,2.836,2.688,11.20
0.1690,2.789,2.318,9.08
0.2081,2.739,2.169,6.64
0.1628,2.77,2.319,9.42
0.0692,2.961,2.756,11.58
0.2330,2.774,2.128,8.93
0.2461,3.11,2.344,10.80
0.2224,2.86,2.224,10.06
0.0655,3.235,3.023,13.91
0.0843,2.967,2.717,11.23
0.0932,3.176,2.880,17.39
0.1625,2.68,2.244,12.84
0.1207,3.015,2.651,10.58
0.0725,3.068,2.846,12.36
0.1115,3.082,2.738,12.07
0.1270,2.614,2.282,15.60
0.0706,3.127,2.906,14.58
0.2013,3.127,2.498,22.09
0.2290,2.775,2.139,13.90
0.1694,3.166,2.629,13.92
0.2911,2.602,1.844,13.41
0.1513,2.758,2.341,18.67
0.0914,2.639,2.398,15.65
0.1004,3.051,2.744,0.84
0.1194,2.937,2.586,8.62
0.1396,3.213,2.764,18.29
0.0438,5.198,4.970,1.72
0.1354,2.842,2.457,16.30
0.0600,3.931,3.695,3.61
0.1838,2.697,2.202,13.67
0.2948,2.595,1.830,13.75
0.2188,3.051,2.383,2.68
0.0945,1.934,1.751,25.80
0.0706,5.32,4.945,1.51
0.0809,5.302,4.873,5.65
0.1399,2.457,2.113,15.85
0.2768,2.665,1.927,12.30
0.0882,2.248,2.050,6.08
0.1928,2.585,2.087,12.65
0.1276,2.621,2.287,13.77
0.1715,2.61,2.163,13.17
0.1060,2.471,2.209,14.15
0.1454,2.717,2.322,17.44
0.2143,2.285,1.795,6.40
0.2204,2.547,1.985,9.26
0.1305,3.052,2.654,11.38
0.1571,2.775,2.339,9.79
0.2603,2.526,1.869,9.80
0.1523,2.784,2.360,24.51
0.1525,2.57,2.178,13.31
0.2572,2.635,1.958,7.26
0.1444,2.668,2.283,12.81
0.3051,2.533,1.760,9.68
0.3060,2.639,1.831,19.34
0.0176,3.037,2.984,9.11
0.1628,2.762,2.312,49.88
0.0653,3.059,2.859,11.30
0.2464,2.597,1.957,3.75
0.1472,2.548,2.173,13.91
0.1248,2.533,2.217,12.60
0.2298,2.524,1.944,13.00
0.1386,2.371,2.043,7.46
0.1835,3.097,2.529,6.54
0.0359,2.989,2.882,2.15
0.0900,2.59,2.357,8.34
0.1017,3.099,2.784,5.96
0.1527,3.944,3.342,9.62
0.1417,3.113,2.672,4.44
0.1797,2.664,2.185,8.36
0.2647,2.544,1.871,5.43
0.0652,3.119,2.915,8.04
0.0302,2.965,2.875,8.86
0.1271,2.643,2.307,13.58
0.1852,2.623,2.137,5.53
0.2233,2.773,2.153,8.92
0.1255,2.559,2.238,13.73
0.0594,2.61,2.455,8.84
0.0565,2.679,2.528,9.28
0.0705,3.03,2.816,10.00
0.1696,2.606,2.164,4.82
0.0552,2.319,2.191,6.26
0.2413,2.63,1.996,2.25
0.2002,2.571,2.057,18.07
0.1261,2.238,1.956,7.25
0.0913,2.567,2.333,12.86
0.1073,2.553,2.279,15.72
0.2614,2.628,1.941,5.01
0.1094,3.069,2.734,8.60
0.0596,2.333,2.194,6.06
0.1285,2.273,1.981,5.33
0.1118,2.576,2.288,3.24
0.1132,2.284,2.025,7.71
0.0146,3.176,3.130,7.62
0.0966,2.257,2.039,5.70
0.2704,3.129,2.283,17.59
0.1846,1.853,1.511,24.98
0.1745,2.572,2.123,14.58
0.1173,2.74,2.419,11.30
0.0599,3.131,2.943,15.73
0.1073,3.159,2.820,6.27
0.3229,2.341,1.585,20.08
0.1389,2.589,2.229,13.73
0.1501,2.563,2.178,12.13
0.0331,2.797,2.705,2.62
0.1061,3.229,2.887,2.78
0.1449,3.198,2.734,4.83
0.1826,2.573,2.103,1.60
0.2180,2.395,1.873,11.96
0.2292,2.641,2.036,12.99
0.0676,2.734,2.549,5.37
0.0721,2.633,2.443,8.89
0.1813,2.463,2.017,8.78
0.0574,2.567,2.420,10.55
0.2020,2.593,2.069,13.27
0.0960,2.258,2.041,4.08
0.2869,2.402,1.713,11.53
0.0889,3.067,2.794,9.47
0.1437,2.585,2.214,13.40
0.0468,2.668,2.543,15.21
0.1420,3.143,2.697,13.54
0.1881,3.148,2.556,18.51
0.1423,2.562,2.198,14.03
0.2178,2.467,1.930,5.17
0.0737,2.589,2.398,9.77
0.1081,3.172,2.830,8.47
0.1564,2.554,2.155,6.46
0.1044,3.005,2.692,9.90
0.2708,2.345,1.710,23.18
0.1272,3.237,2.825,0.22
0.0923,2.355,2.138,8.97
0.1133,2.644,2.344,13.80
0.1420,2.677,2.297,17.10
0.1384,2.555,2.201,4.10
0.1217,2.604,2.287,4.15
0.0781,2.304,2.124,6.49
0.0775,2.208,2.037,4.71
0.0792,2.411,2.220,2.23
0.0898,2.415,2.198,6.59
0.0647,2.63,2.460,12.35
0.1839,2.359,1.925,6.20
0.2618,3.186,2.352,5.88
0.0794,2.266,2.086,6.49
0.2230,2.548,1.980,13.78
0.1674,2.528,2.105,14.93
0.2794,2.565,1.848,6.45
0.1523,2.636,2.235,14.35
0.2332,2.326,1.783,5.09
0.1044,2.751,2.464,9.59
0.0944,2.278,2.063,5.88
0.0389,2.305,2.215,9.61
0.1682,2.681,2.230,12.42
0.0692,2.643,2.460,10.58
0.1206,2.238,1.968,6.94
0.1656,3.036,2.533,9.72
0.0647,2.949,2.758,2.83
0.2652,3.23,2.374,23.87
0.2345,2.604,1.993,24.99
0.1174,2.253,1.988,6.74
0.2824,2.534,1.818,10.11
0.1575,2.805,2.364,8.74
0.2399,2.569,1.953,10.79
0.1647,2.602,2.173,14.52
0.1213,2.392,2.102,7.10
0.0128,2.386,2.356,12.23
0.1211,2.806,2.466,5.77
0.0776,2.602,2.400,15.36
0.1700,2.669,2.215,4.78
0.1549,2.603,2.200,3.57
0.1095,2.58,2.297,15.45
0.0991,2.524,2.273,15.35
0.0454,2.752,2.627,4.39
0.1294,2.794,2.432,2.60
0.1565,2.3,1.940,4.33
0.1472,2.298,1.960,7.22
0.2343,3.101,2.374,17.09
0.1963,2.279,1.832,7.25
0.1343,2.284,1.977,6.99
0.0310,2.988,2.896,2.26
0.1499,2.642,2.246,1.37
0.0459,2.733,2.607,7.01
0.1489,2.357,2.006,5.61
0.0139,2.855,2.816,2.78
0.1697,2.849,2.365,8.42
0.1297,2.364,2.058,9.63
0.2270,2.573,1.989,10.63
0.0206,2.992,2.930,12.10
0.1466,2.867,2.446,4.69
0.1604,2.595,2.179,4.72
0.1334,2.652,2.298,7.66
0.2820,2.792,2.005,29.94
0.0217,3.118,3.050,16.81
0.1063,3.241,2.897,1.79
0.1418,3.087,2.649,6.72
0.0988,3.196,2.880,18.24
0.1030,2.541,2.279,16.08
0.2059,2.787,2.213,8.57
0.1401,2.404,2.067,13.26
0.1789,2.526,2.074,13.33
0.2426,2.659,2.014,13.17
0.0667,3.017,2.816,10.35
0.2490,2.384,1.791,10.11
0.1139,2.55,2.260,10.92
0.1455,2.62,2.238,14.57
0.1110,2.583,2.296,14.30
0.1189,2.899,2.554,13.67
0.1584,2.755,2.319,7.49
0.1249,2.64,2.310,15.66
0.0915,2.597,2.360,11.92
0.1434,2.532,2.169,14.38
0.1382,2.615,2.254,8.33
0.1827,2.785,2.276,7.16
0.1590,2.4,2.018,6.46
0.1570,2.607,2.198,15.26
0.1760,2.616,2.155,14.89
0.0692,2.636,2.453,22.65
0.1699,3.148,2.613,16.37
0.0402,3,2.879,9.66
0.0778,3.094,2.853,10.28
0.0760,2.659,2.457,14.83
0.1275,2.963,2.585,8.37
0.1237,2.602,2.280,15.23
0.1306,2.73,2.374,14.90
0.0694,2.707,2.520,18.08
0.2522,2.706,2.024,16.19
0.0909,2.61,2.373,15.52
0.1061,2.743,2.452,9.34
0.0853,2.799,2.560,8.31
0.0537,2.689,2.544,26.91
0.2339,2.691,2.061,11.94
0.1049,2.644,2.367,3.29
0.1581,2.807,2.363,4.12
0.1310,2.622,2.279,14.41
0.0801,2.754,2.533,14.22
0.3015,2.631,1.838,12.34
0.1399,2.716,2.336,4.23
0.0973,2.547,2.299,15.47
0.1159,2.518,2.226,12.48
0.1582,2.684,2.260,16.38
0.1515,3.07,2.605,17.63
0.0435,3.389,3.242,10.06
0.0702,2.626,2.442,11.83
0.0906,3.063,2.785,10.21
0.2382,2.298,1.751,5.87
0.1153,3.056,2.703,3.29
0.0926,2.979,2.703,10.62
0.0490,2.983,2.836,11.73
0.1067,3.097,2.767,2.60
0.0874,2.556,2.332,14.99
0.1007,2.402,2.160,7.41
0.1311,3.087,2.682,1.53
0.0143,3.235,3.189,1.92
0.0409,2.953,2.832,2.37
0.0379,5.199,5.002,6.51
0.1240,3.082,2.700,1.35
0.1115,2.777,2.467,14.20
0.2621,2.632,1.942,14.46
0.1138,3.094,2.742,9.23
0.0866,3.029,2.767,4.22
0.1441,2.708,2.318,8.87
0.0332,3.182,3.076,13.68
0.1025,2.707,2.429,13.34
0.0311,3.131,3.034,10.33
0.1467,2.637,2.250,14.24
0.0440,3.073,2.937,8.90
0.1685,2.242,1.864,6.42
0.0144,2.91,2.868,3.27
0.0695,2.635,2.452,9.89
0.1318,2.652,2.303,12.04
0.1715,2.696,2.234,6.25
0.2422,2.637,1.998,12.61
0.0853,3.135,2.867,1.57
0.0917,3.425,3.111,8.67
0.1952,3.123,2.513,19.41
0.1712,3.248,2.692,19.98
0.0729,2.617,2.427,15.07
0.1511,2.768,2.349,10.09
0.1031,3.212,2.881,20.08
0.1260,2.665,2.329,12.90
0.2052,2.529,2.010,8.82
0.1127,2.681,2.379,15.81
0.1498,3.184,2.707,23.91
0.0787,3.221,2.967,0.32
0.0676,2.998,2.795,9.68
0.0765,3.06,2.826,10.12
0.1656,3.136,2.617,10.92
0.0453,2.656,2.536,22.60
0.1053,2.731,2.443,10.08
0.0629,2.99,2.801,8.15
0.2582,2.554,1.895,6.88
0.1110,2.629,2.337,14.75
0.0718,3.223,2.991,7.12
0.0616,2.982,2.798,11.16
0.0475,2.966,2.825,9.85
0.2080,3.096,2.452,11.76
0.2731,2.455,1.785,13.47
0.0142,3.067,3.023,11.41
0.2141,2.287,1.797,24.73
0.1543,2.854,2.414,35.80
0.0034,5.176,5.159,7.25
0.1859,2.528,2.058,14.17
0.2079,2.926,2.317,12.39
0.0888,2.878,2.623,6.93
0.1244,3.065,2.684,12.85
0.1357,2.627,2.270,13.17
0.1435,3.16,2.707,2.98
0.1085,3.113,2.775,2.93
0.1762,2.692,2.218,13.50
0.2003,2.762,2.209,12.79
0.0550,3.112,2.940,13.66
0.0998,2.987,2.689,10.63
0.1621,3.142,2.632,11.19
0.0513,2.93,2.780,3.27
0.1463,3.063,2.615,6.26
0.0916,3.083,2.800,20.92
0.1550,3.153,2.664,1.13
0.1579,3.207,2.700,1.37
0.0222,3.097,3.028,12.58
0.0680,3.044,2.837,8.93
0.0771,2.741,2.529,13.23
0.2369,3.045,2.323,4.24
0.1717,3.11,2.576,10.89
0.2854,2.573,1.838,12.50
0.0907,2.97,2.700,10.18
0.0337,5.161,4.988,11.44
0.1249,3.054,2.673,17.46
0.1132,3.149,2.792,6.56
0.1123,3.188,2.830,11.83
0.0907,3.099,2.818,13.23
0.0429,2.98,2.852,9.57
0.1170,3.135,2.768,12.54
0.0136,3.216,3.172,21.93
0.1279,3.117,2.718,0.86
0.0332,3.187,3.081,8.70
0.1791,3.021,2.480,8.92
0.1347,3.959,3.425,5.57
0.0578,5.179,4.880,13.99
0.1380,2.944,2.538,12.70
0.1470,2.574,2.195,14.52
0.2102,2.539,2.005,15.12
0.0416,3.384,3.243,9.25
0.2421,2.241,1.698,4.60
0.1096,3.152,2.807,5.25
0.0926,5.217,4.734,14.31
0.0559,5.256,4.962,6.61
0.1110,3.137,2.789,12.00
0.0327,5.189,5.019,6.58
0.0885,3.163,2.883,6.20
0.1075,2.968,2.649,10.91
0.0880,3.102,2.829,10.34
0.1214,3.166,2.782,9.87
0.0320,5.207,5.041,24.18
0.1696,2.803,2.327,17.23
0.0782,3.163,2.915,14.58
0.0971,3.941,3.558,9.26
0.1243,2.597,2.274,16.32
0.1124,3.207,2.846,23.24
0.0650,3.22,3.010,12.97
0.2294,3.101,2.389,15.67
0.1105,2.993,2.662,11.09
0.0797,3.123,2.874,10.43
0.1190,2.98,2.625,11.47
0.0407,3.089,2.964,8.18
0.0383,5.351,5.146,6.47
0.1595,5.167,4.343,7.10
0.0462,3.248,3.098,8.74
0.1046,3.002,2.688,6.30
0.0074,3.067,3.045,10.27
0.0260,2.711,2.640,5.75
0.1052,3.179,2.845,1.47
0.2641,3.181,2.341,14.99
0.0890,3.012,2.744,10.25
0.1026,2.977,2.672,10.21
0.0768,2.977,2.749,11.65
0.0333,3.063,2.961,10.46
0.1025,3.126,2.806,16.29
0.0459,3.044,2.905,14.44
0.0888,2.917,2.658,11.27
0.0438,3.17,3.031,8.46
0.0503,3.029,2.876,9.44
0.0717,3.147,2.922,10.39
0.0531,3.069,2.906,5.48
0.0420,3.175,3.041,14.90
0.0774,3.166,2.921,9.69
0.0621,2.964,2.780,11.70
0.0630,3.037,2.846,9.95
0.0570,3.115,2.937,15.82
0.0724,3.208,2.976,21.98
0.0535,5.236,4.955,13.67
0.0242,3.032,2.958,11.15
0.0786,3.075,2.833,12.70
0.0643,3.128,2.927,11.68
0.2350,2.72,2.081,15.16
0.1775,2.577,2.119,15.23
0.0379,3.156,3.036,14.80
0.1286,3.968,3.458,9.04
0.1917,2.536,2.049,16.44
0.2407,2.627,1.995,11.98
0.1438,3.132,2.681,5.57
0.0571,3.124,2.945,9.71
0.0767,3.153,2.911,23.05
0.0418,2.866,2.746,6.90
0.2255,2.692,2.085,7.66
0.0334,2.741,2.650,8.00
0.1717,3.234,2.679,11.76
0.2077,2.368,1.876,25.00
0.0662,2.548,2.380,15.82
0.1376,2.236,1.928,3.74
0.2493,2.747,2.062,8.52
0.1993,2.456,1.967,3.32
0.1237,2.991,2.621,9.84
0.0621,2.626,2.463,15.06
0.2138,2.596,2.041,12.28
0.1175,2.767,2.442,10.04
0.1705,2.767,2.295,7.85
0.1327,2.538,2.201,15.22
0.0487,2.996,2.850,9.44
0.2495,2.574,1.931,11.94
0.1940,2.732,2.202,9.36
0.1585,2.611,2.197,13.85
0.2190,2.773,2.166,7.72
0.1911,2.545,2.059,10.26
0.1875,2.77,2.251,8.13
0.0727,2.963,2.748,10.58
0.0469,5.147,4.905,6.14
0.0578,3.071,2.893,9.31
0.0519,2.646,2.509,5.40
0.2062,2.382,1.890,8.95
0.1919,2.602,2.103,11.70
0.1903,2.555,2.069,11.91
0.2150,2.601,2.042,14.96
0.1374,2.305,1.988,4.36
0.0513,2.744,2.603,4.77
0.0994,2.746,2.473,11.67
0.1115,3.06,2.719,4.41
0.1334,2.563,2.221,9.87
0.1705,3.159,2.620,1.52
0.1904,2.298,1.861,24.48
0.1773,2.853,2.348,13.17
0.2833,51.99,37.260,0.75
0.2417,2.58,1.957,15.86
0.0630,3.199,2.997,23.32
0.1341,2.735,2.368,13.61
0.2016,2.399,1.915,2.83
0.0430,3.053,2.922,8.16
0.1588,2.613,2.198,15.84
0.1290,2.314,2.015,11.59
0.0947,2.558,2.316,14.45
0.0427,3.554,3.403,18.95
0.0345,2.987,2.884,9.86
0.0779,2.972,2.741,11.38
0.1895,3.168,2.568,29.43
0.1205,2.381,2.094,10.33
0.1418,2.35,2.016,4.67
0.0627,3.072,2.880,10.52
0.1638,2.795,2.337,8.40
0.0948,2.748,2.487,11.41
0.0172,2.659,2.613,12.68
0.1101,2.694,2.397,15.51
0.0362,2.996,2.887,6.13
0.1906,2.332,1.888,24.25
0.1356,2.335,2.018,6.61
0.0208,3.23,3.163,14.35
0.0717,3.486,3.236,1.69
0.1798,2.474,2.029,13.89
